Wavelength[nm]	Intensity[normalized]	Ret_Intensity[normalized]	Phase[rad]
562.69	0.00359080	0.09314861	-2.12499638
563.14	0.00375415	0.09472092	-2.12277619
563.60	0.00386166	0.09402151	-2.13049475
564.05	0.00401930	0.09315342	-2.13937930
564.51	0.00435144	0.09263956	-2.15725849
564.96	0.00468732	0.09409849	-2.16852340
565.42	0.00470187	0.09726035	-2.18295565
565.87	0.00431362	0.10080614	-2.19373520
566.33	0.00387627	0.10420031	-2.20576064
566.78	0.00374438	0.10627585	-2.21709458
567.24	0.00382994	0.10783141	-2.22091667
567.69	0.00393479	0.10886104	-2.23091433
568.14	0.00406991	0.10876703	-2.23733736
568.60	0.00421849	0.10796801	-2.24020111
569.05	0.00421230	0.10743625	-2.24928645
569.51	0.00403998	0.10778650	-2.26167886
569.96	0.00396769	0.11189180	-2.29008875
570.42	0.00418950	0.11642276	-2.32867171
570.87	0.00446415	0.12054940	-2.36377077
571.33	0.00442834	0.12188090	-2.39930702
571.78	0.00422202	0.12024375	-2.43041235
572.23	0.00417547	0.11800801	-2.45124205
572.69	0.00431345	0.11589480	-2.46864662
573.14	0.00454484	0.11701045	-2.46701552
573.60	0.00477530	0.11874671	-2.45515221
574.05	0.00490719	0.12028011	-2.44283663
574.50	0.00498516	0.12016623	-2.42520019
574.96	0.00518402	0.11731009	-2.41104610
575.41	0.00549213	0.11414381	-2.39355249
575.87	0.00572933	0.11133249	-2.37468645
576.32	0.00590359	0.11087293	-2.36325096
576.78	0.00605270	0.11204021	-2.34461140
577.23	0.00613612	0.11403799	-2.33245338
577.68	0.00610943	0.11663362	-2.31897806
578.14	0.00590676	0.11954778	-2.30029279
578.59	0.00571784	0.12264077	-2.28129387
579.04	0.00584187	0.12571438	-2.25515880
579.50	0.00621769	0.12816727	-2.21897123
579.95	0.00652791	0.12982438	-2.17469758
580.41	0.00663475	0.13148783	-2.12430416
580.86	0.00659324	0.13339943	-2.07171035
581.31	0.00653141	0.13683683	-2.02669481
581.77	0.00674029	0.14091837	-1.98145801
582.22	0.00724853	0.14485623	-1.94382537
582.68	0.00763052	0.14819687	-1.90599719
583.13	0.00759012	0.14932143	-1.87579874
583.58	0.00722555	0.14973236	-1.84347706
584.04	0.00678615	0.14964861	-1.81099788
584.49	0.00644710	0.14914520	-1.77153780
584.94	0.00636403	0.14833805	-1.72608585
585.40	0.00659326	0.14795274	-1.67758409
585.85	0.00697206	0.14840718	-1.62897455
586.30	0.00734672	0.15114456	-1.59980072
586.76	0.00760552	0.15590703	-1.58226228
587.21	0.00763797	0.16153666	-1.57051196
587.66	0.00750346	0.16766432	-1.56553838
588.12	0.00739134	0.17379925	-1.55758787
588.57	0.00734879	0.17971803	-1.55253172
589.02	0.00721629	0.18515206	-1.54549895
589.48	0.00690379	0.18979106	-1.54138416
589.93	0.00662055	0.19203967	-1.53922247
590.38	0.00671315	0.19349136	-1.54097865
590.84	0.00720637	0.19443302	-1.54373458
591.29	0.00756322	0.19525755	-1.55433772
591.74	0.00738716	0.19652683	-1.57768230
592.20	0.00708068	0.19787996	-1.60792033
592.65	0.00705051	0.19937873	-1.63822719
593.10	0.00719304	0.20103411	-1.66470788
593.56	0.00742909	0.20288818	-1.69030326
594.01	0.00767834	0.20515287	-1.71111820
594.46	0.00771647	0.20794780	-1.73790596
594.91	0.00754235	0.21268120	-1.76677127
595.37	0.00730065	0.21898199	-1.80065476
595.82	0.00695714	0.22460265	-1.83566104
596.27	0.00652670	0.22860859	-1.86789469
596.73	0.00628232	0.22689198	-1.89443676
597.18	0.00642641	0.22090294	-1.91920420
597.63	0.00685147	0.21386390	-1.93634825
598.08	0.00740234	0.20693950	-1.95662167
598.54	0.00794920	0.20399720	-1.96831622
598.99	0.00832686	0.20360581	-1.98316111
599.44	0.00848533	0.20420601	-1.99530735
599.90	0.00833895	0.20541505	-2.00867152
600.35	0.00803344	0.20633851	-2.02424047
600.80	0.00807141	0.20714986	-2.04690722
601.25	0.00848595	0.20789335	-2.06203349
601.71	0.00883508	0.20845339	-2.06962940
602.16	0.00898678	0.20760955	-2.05798624
602.61	0.00926045	0.20651931	-2.03590306
603.06	0.00970783	0.20587430	-2.00436636
603.52	0.00992850	0.20609906	-1.96533915
603.97	0.00994006	0.21004939	-1.93054999
604.42	0.01015573	0.21529315	-1.88926648
604.87	0.01061702	0.22058449	-1.84833427
605.33	0.01105167	0.22519839	-1.80483332
605.78	0.01136121	0.22498821	-1.76560918
606.23	0.01163420	0.22319907	-1.72871829
606.68	0.01186373	0.22148039	-1.69319357
607.13	0.01200041	0.22071614	-1.65513824
607.59	0.01197614	0.22448214	-1.61260854
608.04	0.01173634	0.23068989	-1.56659040
608.49	0.01153133	0.23819339	-1.52002279
608.94	0.01156210	0.24658007	-1.47389151
609.40	0.01175291	0.25574631	-1.42429950
609.85	0.01209975	0.26497291	-1.38004496
610.30	0.01252014	0.27357879	-1.33332446
610.75	0.01281911	0.28099884	-1.29000643
611.20	0.01289629	0.28468964	-1.24912329
611.66	0.01277825	0.28570223	-1.21361365
612.11	0.01262065	0.28565130	-1.17567391
612.56	0.01255208	0.28507923	-1.14312540
613.01	0.01261098	0.28515732	-1.11011753
613.46	0.01275288	0.28610688	-1.07275280
613.92	0.01294477	0.28752519	-1.04471176
614.37	0.01324379	0.28953951	-1.02014369
614.82	0.01361964	0.29296164	-1.00979937
615.27	0.01394656	0.29797596	-1.01271078
615.72	0.01407676	0.30314042	-1.02302704
616.17	0.01395156	0.30799404	-1.03685037
616.63	0.01372211	0.31124362	-1.05028292
617.08	0.01356108	0.31109688	-1.06040335
617.53	0.01347563	0.31068632	-1.07014968
617.98	0.01326169	0.31070558	-1.07660048
618.43	0.01284519	0.31211119	-1.08659991
618.88	0.01262932	0.31909558	-1.09917959
619.34	0.01284161	0.32704638	-1.11141796
619.79	0.01297110	0.33519240	-1.12234654
620.24	0.01263660	0.34276079	-1.13685620
620.69	0.01230272	0.34658664	-1.14225962
621.14	0.01240844	0.34867132	-1.14637726
621.59	0.01258488	0.34967997	-1.14824045
622.04	0.01234972	0.34982817	-1.15371646
