E,Rs,Rp,phiRs,phiRp
22.4,0.62190189,0.26254708,-152.22282,3.7798795
22.5,0.62184782,0.26481039,-152.02041,3.824756
22.6,0.62186885,0.26725859,-151.81796,3.8806506
22.7,0.62191119,0.26975904,-151.61524,3.9343857
22.8,0.62203081,0.27243519,-151.41282,3.9996277
22.9,0.6221887,0.27520145,-151.21019,4.06718
23,0.62241984,0.27811603,-151.00777,4.1454879
23.1,0.62149125,0.28012229,-150.80307,4.3156483
23.2,0.62059025,0.28219143,-150.59715,4.4923453
23.3,0.61975794,0.28438023,-150.39049,4.6807241
23.4,0.61894936,0.28659444,-150.18232,4.8718293
23.5,0.61820222,0.28891042,-149.97338,5.0721136
23.6,0.61749162,0.29127362,-149.76328,5.2766487
23.7,0.6168457,0.29372669,-149.55244,5.4901524
23.8,0.61624609,0.29623447,-149.34064,5.7087357
23.9,0.61569272,0.29879245,-149.12771,5.9323933
24,0.61518579,0.30140542,-148.91386,6.1604279
24.1,0.61378266,0.30294411,-148.7156,6.4248927
24.2,0.61236395,0.30444719,-148.51528,6.6886633
24.3,0.61101108,0.30602571,-148.31392,6.9620888
24.4,0.60968991,0.30762422,-148.11092,7.2397251
24.5,0.6084014,0.30924245,-147.90629,7.5213809
24.6,0.60714347,0.31088511,-147.70007,7.8064594
24.7,0.60596271,0.31259831,-147.49261,8.1012106
24.8,0.60477436,0.31428191,-147.28292,8.3938791
24.9,0.60366539,0.31602771,-147.07179,8.6958391
25,0.60259145,0.31779947,-146.85898,9.0006557
25.1,0.60094447,0.31812664,-146.71421,9.2023146
25.2,0.59930132,0.31844017,-146.56912,9.4051698
25.3,0.59771275,0.31880415,-146.42351,9.6157246
25.4,0.59608856,0.31911163,-146.27626,9.8233409
25.5,0.59452244,0.31946424,-146.12841,10.038636
25.6,0.59291849,0.3197594,-145.97862,10.251491
25.7,0.59137317,0.32010301,-145.82851,10.471161
25.8,0.58980981,0.32041542,-145.67674,10.690437
25.9,0.58826327,0.32073373,-145.52419,10.911829
26,0.58674883,0.32107101,-145.37055,11.137797
26.1,0.58520275,0.32114924,-145.23819,11.32339
26.2,0.58361677,0.32116706,-145.10431,11.506211
26.3,0.58208431,0.32123952,-144.97065,11.69447
26.4,0.58052441,0.32127488,-144.83575,11.881059
26.5,0.57899058,0.32133261,-144.70032,12.071098
26.6,0.5774666,0.3213961,-144.56453,12.262164
26.7,0.5759333,0.32144792,-144.42781,12.453329
26.8,0.57440911,0.32150811,-144.29077,12.645473
26.9,0.57288914,0.32156602,-144.15285,12.838994
27,0.571383,0.32163893,-144.01481,13.033621
27.1,0.56981771,0.3217105,-143.86896,13.245887
27.2,0.56826564,0.32179594,-143.72272,13.45956
27.3,0.56669588,0.3218638,-143.57539,13.672663
27.4,0.56517146,0.32197226,-143.42806,13.889496
27.5,0.56366045,0.32209299,-143.28027,14.107645
27.6,0.56215519,0.32220875,-143.13144,14.327038
27.7,0.56065772,0.32231918,-142.98146,14.547923
27.8,0.55916951,0.32242108,-142.83011,14.770637
27.9,0.55775237,0.32257946,-142.67856,14.999214
28,0.556293,0.32268027,-142.52464,15.226307
28.1,0.55510493,0.32274059,-142.41051,15.376097
28.2,0.55393871,0.32280903,-142.29639,15.52693
28.3,0.55270835,0.32281428,-142.18089,15.67385
28.4,0.55151056,0.32284681,-142.06558,15.823034
28.5,0.55032468,0.3228878,-141.95007,15.973277
28.6,0.54917341,0.32295761,-141.83483,16.125714
28.7,0.54795342,0.3229618,-141.71809,16.274253
28.8,0.54680936,0.32303104,-141.60225,16.427467
28.9,0.54566816,0.32309938,-141.48596,16.581264
29,0.54449401,0.32313351,-141.36879,16.733207
29.1,0.52463431,0.30954431,-140.36014,19.062142
29.2,0.50334419,0.29557442,-139.24323,21.601219
29.3,0.48086279,0.28153898,-138.01459,24.365379
29.4,0.47990731,0.2813954,-137.91516,24.448464
29.5,0.47904615,0.28134939,-137.81692,24.536204
29.6,0.47818858,0.28130527,-137.71856,24.624359
29.7,0.47733371,0.28126214,-137.62009,24.712856
29.8,0.47647396,0.28121083,-137.52162,24.80184
29.9,0.47556077,0.28110083,-137.4234,24.889189
30,0.47461856,0.28095973,-137.3245,24.975632
